85	17
38	2
33	4
99	13
28	15
31	1
26	6
68	2
98	8
3	11
72	10
62	11
8	20
47	14
0	18
12	11
30	16
9	1
30	9
25	14
37	2
74	2
34	20
40	4
82	8
39	5
14	6
83	16
62	17
28	11
19	12
55	2
44	1
83	13
82	17
75	1
90	9
100	1
84	4
57	4
70	17
85	14
13	10
68	5
47	18
40	12
2	15
17	9
94	7
100	4
86	4
23	18
59	18
44	4
66	9
25	16
47	8
94	17
0	4
39	7
70	17
83	11
76	3
56	17
38	14
30	8
72	11
1	8
62	11
92	15
8	7
84	19
93	18
22	15
37	19
60	2
52	12
45	3
35	12
49	1
31	12
83	20
52	14
42	17
33	19
90	2
73	16
59	18
23	13
55	16
10	12
54	5
72	12
25	8
80	16
56	2
95	5
62	12
70	15
56	8
18	20
36	4
40	8
28	8
70	7
3	8
13	1
46	15
26	15
47	2
40	1
86	1
57	11
30	16
93	5
9	9
48	15
76	18
72	9
79	15
88	17
33	18
90	2
66	11
51	3
54	9
19	1
79	12
21	4
19	16
72	8
71	17
27	9
40	14
31	10
46	20
6	9
16	4
11	4
83	12
6	18
56	7
55	6
9	14
32	12
71	12
26	13
47	16
67	20
14	4
20	14
71	15
3	14
85	6
3	17
92	2
72	12
65	14
20	7
28	6
2	7
4	15
13	10
76	6
78	19
81	3
80	16
83	2
26	9
62	5
12	12
88	19
31	8
52	2
49	13
73	20
81	15
99	8
12	8
43	12
57	20
81	17
41	14
82	17
62	14
1	10
12	10
65	14
47	13
60	1
87	11
91	1
13	7
82	15
10	13
78	13
97	3
2	18
27	13
58	17
67	20
82	14
5	15
61	20
5	1
80	5
37	2
30	20
48	15
37	6
96	11
56	5
84	13
15	20
83	15
37	1
83	18
42	1
77	6
60	1
61	7
70	13
8	5
81	10
57	12
32	13
49	10
52	3
61	10
83	6
90	15
60	6
3	13
12	10
4	18
32	7
47	8
28	7
79	19
8	13
63	7
86	1
4	7
25	3
81	20
60	12
55	8
39	13
93	8
74	9
75	14
74	14
91	10
32	12
53	11
34	19
16	12
85	19
60	19
78	18
29	4
62	12
32	2
95	6
19	15
20	6
1	18
22	15
63	4
63	18
93	4
69	1
99	12
96	16
57	1
3	13
12	5
28	4
64	1
78	2
15	7
44	13
56	18
59	5
52	10
99	16
20	18
55	2
54	4
96	13
72	1
84	14
76	17
23	6
99	4
100	19
12	9
52	4
22	12
81	6
15	11
2	9
88	6
75	9
49	2
52	15
46	16
33	19
96	14
22	3
31	17
73	16
67	3
10	19
36	20
27	5
56	13
68	19
15	8
58	17
44	16
59	12
43	2
44	17
71	9
11	13
42	20
36	8
84	20
53	8
61	8
71	14
1	3
72	15
19	2
61	15
19	5
3	20
89	20
81	6
62	20
52	17
85	4
44	7
12	16
10	10
49	11
98	3
17	4
100	8
58	10
50	11
61	11
17	9
39	20
8	7
19	5
31	19
67	17
26	1
28	1
59	8
43	12
96	3
100	16
64	8
35	10
31	11
75	8
87	13
75	20
36	7
5	12
44	15
60	8
39	1
37	8
100	7
91	18
97	15
63	17
96	16
72	8
93	11
29	6
44	6
16	20
91	15
62	11
71	10
85	6
31	11
40	3
62	6
84	5
32	17
49	3
17	4
79	19
5	6
90	7
64	17
89	9
100	6
10	18
10	16
40	9
54	16
81	8
67	8
55	9
13	9
40	14
57	19
23	16
56	9
22	7
73	12
31	7
45	5
51	14
29	8
83	15
65	1
14	16
65	7
48	12
95	5
62	3
17	4
51	5
83	10
47	10
91	5
5	8
37	13
63	6
0	18
81	14
76	11
77	13
94	16
44	4
37	2
54	4
54	3
15	20
84	10
51	3
69	6
38	10
24	5
14	13
36	2
75	17
30	8
92	17
91	11
64	6
66	6
73	1
31	16
66	13
99	13
86	14
99	19
95	10
49	20
53	7
36	19
67	18
0	5
74	14
18	16
77	3
0	8
25	8
8	17
52	5
28	18
6	15
92	11
58	1
15	2
21	15
43	8
79	4
53	19
91	11
60	6
17	18
53	1
77	11
43	3
31	12
11	18
56	1
53	13
40	3
4	10
7	8
70	12
8	9
78	16
49	10
1	19
73	3
9	6
55	1
52	1
100	17
26	19
98	15
81	11
16	2
37	5
82	5
78	12
28	20
3	10
79	8
86	12
55	8
67	7
51	14
52	19
31	15
30	7
59	4
70	10
60	13
55	5
2	6
9	15
75	20
24	1
63	11
31	16
100	7
51	13
61	16
71	6
20	6
49	2
70	17
25	13
64	19
80	8
13	8
54	12
82	4
63	8
17	2
45	6
78	4
28	6
33	3
3	18
71	18
33	12
27	17
40	10
87	20
5	19
28	12
9	7
32	14
10	11
70	16
14	19
79	11
1	1
15	10
80	4
32	19
13	3
58	13
40	19
90	2
75	10
71	5
42	20
91	3
69	3
23	18
11	1
33	7
87	5
81	2
34	8
84	9
97	14
32	6
10	16
34	9
69	15
60	1
15	19
92	15
40	20
88	4
79	15
20	11
8	9
40	4
9	1
28	11
42	16
64	20
39	10
24	9
70	15
75	18
2	15
83	20
14	7
40	11
14	5
36	12
5	14
43	7
8	6
60	2
71	14
62	16
15	8
58	11
22	13
66	12
87	15
96	20
70	2
99	19
51	3
37	18
86	13
1	14
48	9
9	16
43	12
61	8
62	1
60	18
92	18
36	5
56	8
4	12
47	3
50	16
92	15
22	3
46	7
63	7
55	20
99	19
6	5
86	9
55	10
22	5
99	1
38	5
87	10
23	16
66	2
15	18
26	2
21	12
20	9
58	17
97	11
52	1
99	1
94	18
19	3
20	13
81	19
24	17
38	10
60	8
37	7
33	6
47	20
21	20
78	6
73	20
4	16
1	3
97	6
7	8
82	2
87	19
58	9
85	3
72	20
1	15
27	12
81	5
52	7
78	2
92	9
38	20
13	12
20	4
1	11
70	11
38	2
53	4
56	2
9	8
12	4
37	4
6	14
20	4
35	16
0	8
65	2
70	16
3	15
0	10
28	18
80	17
72	19
46	7
57	6
78	4
25	1
83	4
42	8
4	16
35	15
33	19
19	4
73	1
22	10
45	18
22	1
32	6
67	18
10	10
32	6
8	5
23	15
64	3
17	12
67	16
94	7
71	6
8	12
63	8
95	15
55	17
40	13
38	6
21	20
51	16
13	13
88	15
94	1
85	6
64	14
32	2
5	2
24	19
60	3
25	16
31	19
26	2
28	1
68	11
33	2
82	16
92	3
50	11
100	13
58	3
53	20
23	2
54	14
92	18
8	10
58	19
93	15
78	12
10	2
57	12
4	8
45	6
92	16
32	6
88	4
54	18
8	13
91	15
91	18
42	7
44	12
86	10
25	12
13	7
21	20
100	19
27	19
90	17
62	6
94	20
4	1
19	9
41	11
0	11
12	2
97	15
73	15
21	3
74	10
73	2
87	15
5	4
95	1
2	12
100	6
22	8
38	7
72	17
65	2
6	9
27	2
71	17
57	19
9	7
5	6
17	12
91	15
19	20
27	17
3	2
89	12
78	15
75	3
46	19
15	11
55	16
67	1
98	14
71	3
53	2
42	14
38	1
56	16
46	1
87	10
56	4
52	15
90	19
66	18
43	13
57	13
49	10
40	20
86	15
31	12
37	15
58	16
89	1
77	4
27	3
12	4
36	14
84	12
92	5
99	1
43	9
95	20
22	12
20	13
90	1
75	5
62	15
18	18
37	2
63	5
37	1
2	19
71	11
14	16
100	17
96	5
69	9
49	1
6	9
76	3
53	20
94	7
2	6
25	10
47	4
16	17
41	8
69	6
21	5
45	16
29	12
24	13
43	14
24	10
6	2
48	12
47	17
98	17
68	8
3	2
35	4
70	11
33	15
46	8
